"","Antoni","Pere","Marta","Claudia","Marc","Maria"
"1",1e+06,1e+06,1e+06,1e+06,1e+06,1e+06
"2",990581.4,993160.7,982276.3,995072.2,995228.4,996123.6
"3",990013.3,992747.1,981161.7,994758.2,994939.2,995876.4
"4",989542.2,992404.1,980246.9,994500.3,994699.4,995673.3
"5",989154,992121.4,979510.5,994292.6,994501.7,995509.7
"6",988835.4,991889.3,978919,994125.7,994339.4,995378.2
"7",988571.2,991696.9,978442.4,993991.1,994204.8,995272.3
"8",988347.4,991533.8,978047.5,993879.6,994090.8,995184.4
"9",988148.5,991388.9,977704.3,993782.6,993989.4,995108
"10",987966.7,991256.5,977404.7,993696.6,993896.8,995040.1
"11",987792,991129.2,977122.5,993614.5,993807.7,994975
"12",987615.7,991000.8,976849.2,993534.2,993717.9,994911.4
"13",987446.3,990877.4,976586.3,993457.1,993631.5,994850.2
"14",987267.9,990747.3,976316.2,993377.5,993540.6,994787
"15",987073.8,990605.9,976030.5,993293,993441.6,994719.9
"16",986853.4,990445.3,975731.2,993204.3,993329.2,994649.4
"17",986602.2,990262.2,975416.6,993110.4,993201.1,994574.8
"18",986316.2,990053.8,975085.5,993011,993055.3,994495.5
"19",985994.3,989819.1,974740.8,992906.4,992891.1,994412
"20",985633.6,989556.2,974380.9,992796.1,992707.1,994323.9
"21",985237.7,989267.5,974014.3,992682.7,992505,994233.1
"22",984813.7,988958.4,973647.8,992568.6,992288.7,994141.5
"23",984370,988634.8,973284.1,992454.8,992062.2,994050.2
"24",983917.5,988304.9,972925.5,992342.3,991831.2,993959.9
"25",983462.8,987973.2,972574,992232.2,991598.9,993871.5
"26",983013.2,987645.3,972226.5,992123.4,991369.3,993784.2
"27",982572.1,987323.5,971882.9,992016.2,991143.9,993698.2
"28",982139.6,987007.8,971541.1,991909.6,990922.9,993612.7
"29",981714.1,986697.4,971199.2,991803.1,990705.4,993527.3
"30",981295.9,986392.1,970853.5,991695.3,990491.6,993440.8
"31",980881.1,986089.3,970502.6,991585.6,990279.5,993352.9
"32",980467.4,985787.4,970143.4,991473,990067.9,993262.4
"33",980053.1,985484.9,969773.3,991356.3,989855.9,993168.6
"34",979635.3,985179.8,969392.1,991235.2,989642.2,993071.2
"35",979212.7,984871.2,968996.2,991108.1,989425.9,992968.8
"36",978783.1,984557.5,968583,990973.5,989206,992859.9
"37",978342.6,984235.6,968148.7,990829.2,988980.4,992742.9
"38",977887.6,983903.3,967690.2,990673.1,988747.4,992615.6
"39",977413.4,983556.8,967204.7,990503.1,988504.5,992476.3
"40",976913.9,983191.9,966688.2,990316.8,988248.6,992322.8
"41",976381.4,982802.7,966137.9,990112.1,987975.7,992153.2
"42",975809.1,982384.4,965549.9,989887.1,987682.3,991965.7
"43",975189.6,981931.5,964920.1,989639.7,987364.6,991758.6
"44",974515.9,981435.7,964242.6,989367.1,987014.2,991529.4
"45",973779.3,980889.4,963511.9,989066.5,986624.8,991275.6
"46",972972.8,980286,962725,988735.4,986190.4,990994.8
"47",972087.3,979616.6,961877,988370,985703,990683.6
"48",971113.6,978872,960966.2,987966.7,985153.8,990338.4
"49",970041.2,978041.2,959990.9,987521.4,984531.9,989955
"50",968858.7,977112,958947.4,987028.2,983825.3,989527.7
"51",967553.2,976071.2,957833.6,986481.9,983020.9,989051.2
"52",966114.1,974908,956646.6,985877.5,982107.8,988520.1
"53",964530.9,973612.3,955383.2,985210.4,981076.6,987930.1
"54",962796.3,972177.8,954041.4,984478.5,979921.5,987278.8
"55",960905.8,970601.6,952618.2,983681.2,978640.7,986565.7
"56",958858.8,968884.7,951112.7,982821.3,977236.4,985793.9
"57",956655.7,967029.3,949525.6,981904.4,975711.7,984969.2
"58",954298,965037.9,947858.4,980937.7,974070.1,984099.3
"59",951788.1,962913.1,946115.5,979930.9,972314,983193.8
"60",949130,960658.2,944303.9,978894.4,970446.5,982263.4
"61",946330.8,958279.3,942431.3,977838.2,968472.2,981317.8
"62",943397.6,955782.2,940506.5,976771.7,966396.1,980366.2
"63",940337.7,953173.7,938614.7,975744.4,964224.2,979453.3
"64",936921.5,950259.4,936411.2,974574.5,961795.9,978417.9
"65",933185.1,947072,933911.5,973279,959140.6,977276.6
"66",929171,943651.2,931159.9,971889.5,956294.4,976058.7
"67",924946.9,940058.7,928223,970447.3,953312.5,974801.2
"68",920591.6,936365.3,925157.1,968985.8,950257.3,973534.2
"69",916162.1,932619,921981.4,967513.7,947168.1,972264.8
"70",911694.9,928851.9,918679.5,966026.3,944072.5,970989.3
"71",907188.4,925062.2,915230.3,964515.9,940968.4,969701
"72",902593.3,921204,911601,962963.5,937814.4,968383.1
"73",897817.9,917198.1,907772.2,961359.7,934543.8,967027.1
"74",892752.2,912952.3,903721.4,959697.3,931081.2,965627.2
"75",887214.8,908303.7,899373.7,957930.2,927284.1,964142.2
"76",881080,903145,894660.9,956029.4,923063.5,962547.5
"77",874231.3,897372.1,889501,953952.8,918328.8,960806.6
"78",866563.5,890888.6,883792.6,951646.6,912994.3,958872.4
"79",857934,883558.8,877394.8,949027.1,906934.5,956670.6
"80",848222.2,875272.7,870175.2,946020.5,900052,954136.4
"81",837242.1,865854.1,861980.4,942525.3,892184.7,951178.5
"82",824775.8,855091.8,852627.1,938410.9,883134,947678.1
"83",810671.9,842831.6,841947.9,933548.4,872748.5,943516.5
"84",794636.6,828764.9,829674.9,927708.6,860716.5,938480
"85",776568.7,812771.9,815625.1,920727.4,846905.8,932414.1
"86",756160.4,794503.9,799464.1,912274.5,830941,925003.8
"87",733317.5,773818.1,780979.4,902091.5,812638.2,915996.5
"88",707636.3,750253.3,759615.7,889616.4,791491.9,904849.9
"89",679111.9,723716.1,735169.3,874454.8,767323.9,891161.5
"90",647861.9,694228.1,707594,856272.4,740058.1,874572.1
"91",614129.9,661936.7,676934.4,834775.1,709736.3,854751
"92",578284,627122.3,643307.7,809713.7,676535.5,831402
"93",540583.1,589947.1,606853.9,780766.2,640501,804138.4
"94",500867.9,550158,567838.9,747667,601265.1,772608.9
"95",459124.3,507674.8,526734.7,710456,558654.7,736764.9
"96",415260.3,462335.4,483057.8,668313.3,512407.5,695722
"97",370014.8,414845,437434.9,621416.9,463151.7,649547.4
"98",324176.8,366002.3,390588.1,570135.4,411654.5,598500.9
"99",279047.8,317275.6,343174.5,514885.2,359535,542900.5
"100",235752,269933.9,296410.9,457061.5,308193.4,484102
"101",194917.9,224717.3,251591.5,398814.2,258474.7,424355.5
"102",157160.6,182383.3,209334.9,341080.7,211283.2,364612.7
"103",123467.3,144204.1,170589.8,285791.7,168225.2,306960.7
"104",94120.5,110602,135758.9,233861.9,129891.5,252390.7
"105",69269.8,81858.9,105141.5,186167.9,96732.1,201879.8
"106",48910.7,58083.2,78911.3,143491.7,69008.6,156330.3
"107",32871.8,39185.3,57097.9,106456.7,46753.5,116497.5
"108",20815,24868.2,39576.2,75462.6,29745,82913
"109",12263.9,14651.9,26066,50627.8,17525.2,55813
"110",6789.8,8112,16144.8,31751.1,9702.8,35083.3
"111",3490.5,4170.2,9276.6,18306,4988,20239.9
"112",1640.4,1959.8,4940,9748.4,2344.1,10778.3
"113",690.1,824.5,2417.9,4771.3,986.2,5275.4
"114",252.5,301.7,1067.5,2106.5,360.9,2329
"115",77.2,92.2,414.4,817.7,110.3,904.1
"116",18.6,22.2,136.5,269.4,26.5,297.8
"117",3.2,3.9,36.3,71.6,4.6,79.1
"118",0.4,0.4,7.2,14.2,0.5,15.8
"119",0,0,1,1.9,0,2.1
"120",0,0,0.1,0.1,0,0.1
"121",0,0,0,0,0,0
