"","Antoni","Pere","Marta","Claudia","Marc","Maria"
"1",1e+06,1e+06,1e+06,1e+06,1e+06,1e+06
"2",999215.1,999430.1,998523,999589.3,999602.4,999677
"3",998430.2,998860.1,997046.1,999178.7,999204.7,999353.9
"4",997645.4,998290.2,995569.1,998768,998807.1,999030.9
"5",996860.5,997720.2,994092.1,998357.4,998409.5,998707.9
"6",996075.6,997150.3,992615.1,997946.7,998011.8,998384.8
"7",995290.7,996580.4,991138.2,997536.1,997614.2,998061.8
"8",994505.8,996010.4,989661.2,997125.4,997216.6,997738.8
"9",993720.9,995440.5,988184.2,996714.8,996818.9,997415.7
"10",992936.1,994870.5,986707.2,996304.1,996421.3,997092.7
"11",992151.2,994300.6,985230.3,995893.5,996023.7,996769.7
"12",991366.3,993730.7,983753.3,995482.8,995626,996446.7
"13",990581.4,993160.7,982276.3,995072.2,995228.4,996123.6
"14",990534.1,993126.2,982183.4,995046,995204.3,996103
"15",990486.7,993091.8,982090.5,995019.8,995180.2,996082.4
"16",990439.4,993057.3,981997.7,994993.7,995156.1,996061.8
"17",990392,993022.8,981904.8,994967.5,995132,996041.2
"18",990344.7,992988.4,981811.9,994941.3,995107.9,996020.6
"19",990297.3,992953.9,981719,994915.2,995083.8,996000
"20",990250,992919.4,981626.1,994889,995059.7,995979.4
"21",990202.6,992884.9,981533.2,994862.9,995035.6,995958.8
"22",990155.3,992850.5,981440.4,994836.7,995011.5,995938.2
"23",990107.9,992816,981347.5,994810.5,994987.4,995917.6
"24",990060.6,992781.5,981254.6,994784.4,994963.3,995897
"25",990013.3,992747.1,981161.7,994758.2,994939.2,995876.4
"26",989974,992718.5,981085.5,994736.7,994919.2,995859.5
"27",989934.8,992689.9,981009.2,994715.2,994899.2,995842.6
"28",989895.5,992661.3,980933,994693.7,994879.2,995825.6
"29",989856.3,992632.7,980856.8,994672.3,994859.3,995808.7
"30",989817,992604.2,980780.5,994650.8,994839.3,995791.8
"31",989777.7,992575.6,980704.3,994629.3,994819.3,995774.9
"32",989738.5,992547,980628.1,994607.8,994799.3,995757.9
"33",989699.2,992518.4,980551.9,994586.3,994779.3,995741
"34",989660,992489.8,980475.6,994564.8,994759.3,995724.1
"35",989620.7,992461.3,980399.4,994543.3,994739.4,995707.2
"36",989581.5,992432.7,980323.2,994521.8,994719.4,995690.3
"37",989542.2,992404.1,980246.9,994500.3,994699.4,995673.3
"38",989509.9,992380.5,980185.6,994483,994682.9,995659.7
"39",989477.5,992357,980124.2,994465.7,994666.4,995646.1
"40",989445.2,992333.4,980062.8,994448.4,994650,995632.4
"41",989412.8,992309.8,980001.4,994431.1,994633.5,995618.8
"42",989380.5,992286.3,979940.1,994413.8,994617,995605.2
"43",989348.1,992262.7,979878.7,994396.5,994600.5,995591.5
"44",989315.8,992239.2,979817.3,994379.2,994584.1,995577.9
"45",989283.4,992215.6,979756,994361.9,994567.6,995564.3
"46",989251.1,992192,979694.6,994344.5,994551.1,995550.6
"47",989218.7,992168.5,979633.2,994327.2,994534.6,995537
"48",989186.4,992144.9,979571.8,994309.9,994518.1,995523.4
"49",989154,992121.4,979510.5,994292.6,994501.7,995509.7
"50",989127.5,992102,979461.2,994278.7,994488.1,995498.8
"51",989100.9,992082.7,979411.9,994264.8,994474.6,995487.8
"52",989074.4,992063.4,979362.6,994250.9,994461.1,995476.9
"53",989047.8,992044,979313.3,994237,994447.6,995465.9
"54",989021.3,992024.7,979264,994223.1,994434.1,995454.9
"55",988994.7,992005.3,979214.7,994209.1,994420.5,995444
"56",988968.2,991986,979165.4,994195.2,994407,995433
"57",988941.6,991966.7,979116.2,994181.3,994393.5,995422.1
"58",988915.1,991947.3,979066.9,994167.4,994380,995411.1
"59",988888.5,991928,979017.6,994153.5,994366.5,995400.2
"60",988862,991908.7,978968.3,994139.6,994352.9,995389.2
"61",988835.4,991889.3,978919,994125.7,994339.4,995378.2
"62",988813.4,991873.3,978879.3,994114.5,994328.2,995369.4
"63",988791.4,991857.3,978839.6,994103.2,994317,995360.6
"64",988769.4,991841.2,978799.9,994092,994305.8,995351.8
"65",988747.3,991825.2,978760.1,994080.8,994294.5,995342.9
"66",988725.3,991809.1,978720.4,994069.6,994283.3,995334.1
"67",988703.3,991793.1,978680.7,994058.4,994272.1,995325.3
"68",988681.3,991777.1,978641,994047.2,994260.9,995316.4
"69",988659.3,991761,978601.3,994036,994249.7,995307.6
"70",988637.2,991745,978561.6,994024.8,994238.4,995298.8
"71",988615.2,991728.9,978521.9,994013.5,994227.2,995289.9
"72",988593.2,991712.9,978482.2,994002.3,994216,995281.1
"73",988571.2,991696.9,978442.4,993991.1,994204.8,995272.3
"74",988552.5,991683.3,978409.5,993981.8,994195.3,995264.9
"75",988533.9,991669.7,978376.6,993972.5,994185.8,995257.6
"76",988515.2,991656.1,978343.7,993963.2,994176.3,995250.3
"77",988496.6,991642.5,978310.8,993953.9,994166.8,995243
"78",988477.9,991628.9,978277.9,993944.6,994157.3,995235.7
"79",988459.3,991615.3,978245,993935.3,994147.8,995228.3
"80",988440.6,991601.8,978212.1,993926,994138.3,995221
"81",988422,991588.2,978179.1,993916.7,994128.8,995213.7
"82",988403.4,991574.6,978146.2,993907.5,994119.3,995206.4
"83",988384.7,991561,978113.3,993898.2,994109.8,995199
"84",988366.1,991547.4,978080.4,993888.9,994100.3,995191.7
"85",988347.4,991533.8,978047.5,993879.6,994090.8,995184.4
"86",988330.8,991521.8,978018.9,993871.5,994082.3,995178
"87",988314.3,991509.7,977990.3,993863.4,994073.9,995171.7
"88",988297.7,991497.6,977961.7,993855.3,994065.4,995165.3
"89",988281.1,991485.5,977933.1,993847.2,994057,995158.9
"90",988264.5,991473.5,977904.5,993839.2,994048.5,995152.6
"91",988248,991461.4,977875.9,993831.1,994040.1,995146.2
"92",988231.4,991449.3,977847.3,993823,994031.7,995139.9
"93",988214.8,991437.2,977818.7,993814.9,994023.2,995133.5
"94",988198.2,991425.2,977790.1,993806.8,994014.8,995127.1
"95",988181.7,991413.1,977761.5,993798.8,994006.3,995120.8
"96",988165.1,991401,977732.9,993790.7,993997.9,995114.4
"97",988148.5,991388.9,977704.3,993782.6,993989.4,995108
"98",988133.4,991377.9,977679.3,993775.4,993981.7,995102.4
"99",988118.2,991366.9,977654.4,993768.3,993974,995096.7
"100",988103,991355.8,977629.4,993761.1,993966.3,995091
"101",988087.9,991344.8,977604.4,993753.9,993958.5,995085.4
"102",988072.7,991333.8,977579.5,993746.8,993950.8,995079.7
"103",988057.6,991322.7,977554.5,993739.6,993943.1,995074.1
"104",988042.4,991311.7,977529.5,993732.4,993935.4,995068.4
"105",988027.3,991300.6,977504.5,993725.3,993927.6,995062.7
"106",988012.1,991289.6,977479.6,993718.1,993919.9,995057.1
"107",987997,991278.6,977454.6,993710.9,993912.2,995051.4
"108",987981.8,991267.5,977429.6,993703.8,993904.5,995045.8
"109",987966.7,991256.5,977404.7,993696.6,993896.8,995040.1
"110",987952.1,991245.9,977381.1,993689.8,993889.3,995034.7
"111",987937.6,991235.3,977357.6,993682.9,993881.9,995029.3
"112",987923,991224.7,977334.1,993676.1,993874.5,995023.8
"113",987908.5,991214.1,977310.6,993669.2,993867.1,995018.4
"114",987893.9,991203.5,977287.1,993662.4,993859.7,995013
"115",987879.4,991192.9,977263.6,993655.5,993852.3,995007.6
"116",987864.8,991182.3,977240.1,993648.7,993844.8,995002.1
"117",987850.2,991171.7,977216.6,993641.8,993837.4,994996.7
"118",987835.7,991161,977193.1,993635,993830,994991.3
"119",987821.1,991150.4,977169.5,993628.2,993822.6,994985.9
"120",987806.6,991139.8,977146,993621.3,993815.2,994980.5
"121",987792,991129.2,977122.5,993614.5,993807.7,994975
"122",987777.3,991118.5,977099.7,993607.8,993800.3,994969.7
"123",987762.6,991107.8,977077,993601.1,993792.8,994964.4
"124",987747.9,991097.1,977054.2,993594.4,993785.3,994959.1
"125",987733.3,991086.4,977031.4,993587.7,993777.8,994953.8
"126",987718.6,991075.7,977008.6,993581,993770.3,994948.5
"127",987703.9,991065,976985.8,993574.4,993762.8,994943.2
"128",987689.2,991054.3,976963.1,993567.7,993755.3,994937.9
"129",987674.5,991043.6,976940.3,993561,993747.8,994932.6
"130",987659.8,991032.9,976917.5,993554.3,993740.3,994927.3
"131",987645.1,991022.2,976894.7,993547.6,993732.9,994922
"132",987630.4,991011.5,976872,993540.9,993725.4,994916.7
"133",987615.7,991000.8,976849.2,993534.2,993717.9,994911.4
"134",987601.6,990990.5,976827.3,993527.8,993710.7,994906.3
"135",987587.5,990980.2,976805.4,993521.4,993703.5,994901.2
"136",987573.4,990969.9,976783.5,993514.9,993696.3,994896.1
"137",987559.3,990959.6,976761.6,993508.5,993689.1,994891
"138",987545.1,990949.4,976739.7,993502.1,993681.9,994885.9
"139",987531,990939.1,976717.8,993495.7,993674.7,994880.8
"140",987516.9,990928.8,976695.8,993489.2,993667.5,994875.7
"141",987502.8,990918.5,976673.9,993482.8,993660.3,994870.6
"142",987488.7,990908.2,976652,993476.4,993653.1,994865.5
"143",987474.6,990897.9,976630.1,993469.9,993645.9,994860.4
"144",987460.5,990887.6,976608.2,993463.5,993638.7,994855.3
"145",987446.3,990877.4,976586.3,993457.1,993631.5,994850.2
"146",987431.5,990866.5,976563.8,993450.4,993624,994844.9
"147",987416.6,990855.7,976541.3,993443.8,993616.4,994839.7
"148",987401.7,990844.9,976518.8,993437.2,993608.8,994834.4
"149",987386.9,990834,976496.3,993430.5,993601.2,994829.1
"150",987372,990823.2,976473.8,993423.9,993593.6,994823.9
"151",987357.1,990812.3,976451.3,993417.3,993586.1,994818.6
"152",987342.2,990801.5,976428.8,993410.6,993578.5,994813.3
"153",987327.4,990790.7,976406.3,993404,993570.9,994808.1
"154",987312.5,990779.8,976383.7,993397.4,993563.3,994802.8
"155",987297.6,990769,976361.2,993390.7,993555.7,994797.5
"156",987282.8,990758.2,976338.7,993384.1,993548.2,994792.3
"157",987267.9,990747.3,976316.2,993377.5,993540.6,994787
"158",987251.7,990735.5,976292.4,993370.4,993532.3,994781.4
"159",987235.5,990723.8,976268.6,993363.4,993524.1,994775.8
"160",987219.4,990712,976244.8,993356.4,993515.8,994770.2
"161",987203.2,990700.2,976221,993349.3,993507.6,994764.6
"162",987187,990688.4,976197.2,993342.3,993499.3,994759.1
"163",987170.8,990676.6,976173.3,993335.2,993491.1,994753.5
